text,label
Paris Police Fire Tear Gas Disperse Anti mandate protester,World News
Canada Border Blockade Clearing Peacefully Police,World News
Manilow Macarena play Loop flush Anti Vaccine Mandate Protesters NZ,World News
Georgia GOP Attorney General Primary big lie battleground,World News
War White Gold North Carolina,World News
Trump Reportedly consider quit Presidential Race Tape surface,World News
Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,World News
Brooklyn Half Marathon Runner Collapses die cross finish line,World News
apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,World News
Evacuate Ukraine Embassy amid russian Invasion fear,World News
apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,World News
South Korea Talk Expanded Military drill Deter North Korea,World News
Russia Cuts gas supply Neighboring Finland,World News
Georgia GOP Attorney General Primary big lie battleground,World News
War White Gold North Carolina,World News
Trump Reportedly consider quit Presidential Race Tape surface,World News
Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,World News
Brooklyn Half Marathon Runner Collapses die cross finish line,World News
Teary Kate McKinnon Climbs Spaceship Bids Farewell earth SNL episode,World News
Australia PM Concedes Election Defeat Ending Decade Conservative rule,World News
Russia claim Dark victory devastated City Mariupol,World News
woman Strips Cannes Red Carpet protest russian Rapes Ukraine,World News
Russia suspend Natural gas supply Finland Country refuse pay ruble,World News
Ukraine say repel russian Attack War grind East,World News
Accuses Russia weaponize food Ukraine War,World News
Afghan Taliban Order Female News Anchors cover face air,World News
